Status,Address,S/A,Price,For Tax Year,Gross Taxes,Sold Date,Days On Market,Age,Area,Total Bedrooms,Total Baths,Lot Sz (Sq.Ft.),Floor Area -Grand Total,Original Price,List Price,Driveway Finish,Floor Area - Unfinished,GST Incl,Foundation,Floor Area Fin - Basement,Zoning,Parking Places - Covered,# Rms,No. Floor Levels,Frontage - Feet,Depth,Type,Public Remarks
S,965 PARKER STREET,F54,"$1,420,000 ",2019,"$6,409.23 ",11/28/2020,79,59,South Surrey White Rock,5,5,"6,202.00","3,563","$1,499,000 ","$1,499,000 ",Gravel,0,,Concrete Perimeter,0,RS-2,1,18,2,49.5,125.29,House/Single Family,"A true White Rock character home that offers more than meets the eye.  Panabode woodwork from the early '60s gracefully aging in place provides that log home in the city feeling. Add to that, views of Semiahmoo Bay and Mt Baker and you know you're in the right place. Take a quick walk to the beachfront for leisurely strolls, or to partake in the annual festivities, and commuting is SO easy from here.  Nearby schools are well within walking distance.  This home offers two living quarters and a front door office c/w 3pc bath that has a multitude of uses.  For the car buff, the garage has doors on both ends.  Extra large decks for outdoor leisure. With a total of 6 bedrooms this family friendly home is ready for new memories, and the 2 legal lots add to your future choices."
S,2534 140 STREET,F52,"$1,420,000 ",2019,"$5,597.80 ",9/12/2020,57,66,South Surrey White Rock,3,2,"23,939.00","1,388","$1,450,000 ","$1,450,000 ",,0,,Concrete Perimeter,0,RA,,8,1,0,,House/Single Family,"Investor Alert! Build your Dream Home! Gorgeous .55 Acre Lot in sought after Sunnyside neighbourhood in South Surrey. Solid , comfortable, liveable 1,388 sqft 3 bedroom rancher and separate 1,000 square studio. Central location. Only blocks away from Elgin Secondary and Chantrell Creek Elementary and close to parks, trails, golf course(s) ,the beach and all other amenities. Private backyard oasis with park like setting."
S,3578 149A STREET,F58,"$1,420,000 ",2019,"$3,640.61 ",9/2/2020,34,1,South Surrey White Rock,5,5,"3,878.00","3,470","$1,474,888 ","$1,474,888 ",,0,No,Concrete Perimeter,"1,128",RF12,2,15,3,44.72,89.01,House/Single Family,"Beautiful new home in the Morgan Creek area of South Surrey. This West Rosemary Heights home features 5+ bedrooms including a suite. Open concept plan with large family room plus powder room on main. The kitchen has a large island and nook and beautiful kitchen cabinets, high-end stainless steel appliances, a built-in oven, microwave and a gas cooktop. A nice glass staircase railing leads to the upper floor featuring 4 large bedrooms plus 3 bathrooms. Master with 2 sinks and a huge shower and 4 body jets. Laundry upstairs. Basement has a 1 bedroom suite, kitchen, living, 4 piece bath and media room. Alarm and security 4k cameras.  Central location and close to Southridge Private School, Rosemary Heights Elementary and Morgan Creek Golf Course. Easy access to highways."
S,16667 17B AVENUE,F59,"$1,420,000 ",2019,"$3,075.83 ",7/29/2020,0,1,South Surrey White Rock,4,6,"3,679.00","3,402","$1,488,000 ","$1,488,000 ",Concrete,0,No,Concrete Perimeter,0,RF-13,2,15,3,44.16,84.55,House/Single Family,"BRAND NEW MOVE IN READY...Quality built family home situated in the highly desirable neighbourhood of Pacific Heights. This Raymond Bonter designed family home exudes functionality with a prime location. Main floor boasts an open-concept Great Room with large over-sized windows for ample natural light. Beautiful eat-in kitchen with bonus Wok Kitchen & adjacent Dining Room. Bonus Parlour Room off of the foyer and a spacious mudroom with ample storage. 3 bedrooms above including the Grand Master Suite; walk-in closet, luxe ensuite with soaker tub. The basement boasts a LEGAL 1 Bedroom Suite, perfect for income! Convenient Rec Room for your own use. South Facing 3,679 sqft property with a new park 1 block away. Close  proximity to Grandview Corners, Southridge Private School & So Much More!"
S,1660 145 STREET,F52,"$1,420,000 ",2019,"$4,877.03 ",8/25/2020,44,42,South Surrey White Rock,5,4,"7,242.00","3,292","$1,558,000 ","$1,498,000 ",,0,,Concrete Perimeter,0,RF,2,11,2,67,108,House/Single Family,"Newly renovated! In and Out, the scope of work includes but not limited to: all the four bathrooms, the whole kitchen, cabinets and countertops, all flooring, whole house painting interior and exterior, brand new appliances...Three year new Furnace and 8 year new hot water tank. Cozy Tudor style home situated in the heart of Sunnyside Park. Comfortable living environment with traditional finishings, spacious bedrooms and wonderful entertaining areas. A gorgeous recreation room drenched in natural lights opens up to a private backyard. Minutes walk to the prestigious Semiahmoo Secondary, shopping, library, parks and community center! Open House: Sat Sun (Aug 15-16) 1:30-4:30pm.  "
S,12723 16 AVENUE,F53,"$1,420,000 ",2020,"$5,215.41 ",11/30/2020,9,18,South Surrey White Rock,5,3,"10,871.00","3,041","$1,299,000 ","$1,299,000 ",,0,,Concrete Perimeter,0,RF,3,15,2,0,0,House/Single Family,"Living in the Park concept gorgeous house with 10,873 square feet lot. With interior of 3041 sqft including 5 bedrooms and 3.5 Bath. Storage everywhere. 3 car garage. New hot water on demand system, updated heat pump furnace and A/C.  Hardwood floor. Best school Catchment, Elgin Park, in South Surrey/White Rock. Steps to beach, super market, public library, banks, drug stores, coffee shops, restaurants, professional offices. In central location, yet, very quiet. Functional layout with tons of storage. Enjoy the back yard and balcony outdoor lifestyle."
S,16686 18A AVENUE,F59,"$1,423,809 ",2019,"$2,778.71 ",10/20/2020,61,0,South Surrey White Rock,6,6,"3,909.00","3,556","$1,449,000 ","$1,449,000 ",,0,,Concrete Perimeter,0,RF13,2,16,3,0,,House/Single Family,"Welcome to this immaculate BRAND NEW MOVE IN READY 6 Bed 6 Bath luxury residence located in Grandview Heights. This home is built for the modern family in mind. This home consists of an open concept floor plan, wok/spice kitchen, walk-in-closets, media room, speakers wired throughout, AIR CONDITIONING and a LEGAL 2 Bedroom suite. Close to shops, recreation and schools. View today! OPEN  Saturday - Sunday 1:00-5:00PM"
S,15821 29A AVENUE,F57,"$1,424,000 ",2019,"$4,516.00 ",11/25/2020,13,3,South Surrey White Rock,5,4,"3,144.00","2,574","$1,399,000 ","$1,399,000 ",Asphalt,0,,Concrete Perimeter,876,CD,2,15,3,0,,House/Single Family,"A Gem at Morgan Rise community by FOXRIDGE. This home has spectacular mountain & valley views! It comes with tons xtra upgrades incl. top of the line camera & entertainment system, hardwood floors, KitchenAid Applcs. N/S facing, open concept home w/ spacious 10' high Ceilings, large windows, contemporary interior. Main: office, gourmet kitchen w/KitchenAid gas range, large island, adjoining sunny dining rm, cozy living rm w/roaring f/p. Upper: 3 bdrm inclding a gorgeous mbdrm w/vaulted ceilg/5pcs ensuite. Bsmt boasts 9' ceilings & 2 BEDROOM LEGAL SUITE. All amenities within w/walking distance: Sunnyside elemt, Morgan crossing-shopping, Southridge Private Schl, Morgan Creek golf courses and convenient access to Vancouver by Hwy 99.  *No Showings at this time*"
S,14758 34A AVENUE,F55,"$1,425,000 ",2019,"$4,634.22 ",9/2/2020,76,10,South Surrey White Rock,5,4,"4,257.00","3,655","$1,449,900 ","$1,449,900 ",,0,,Concrete Perimeter,"1,241",RF-12,2,13,3,44,108,House/Single Family,"The perfect home in the perfect neighbourhood is ready for you to call home. With timeless, high-end finishings throughout, this 2010 built home features generous sized rooms for the entire family. Incredibly kept, you will fall in love with the open layout, complete with vaulted ceiling living area siding onto your oversized island, modern kitchen & dining area. Tough to find backyard privacy is found here, with a perfect evening escape into a mature, well treed entertainer's oasis. The media room on the lowest level is perfect for movies & video games. 2 bedroom suite perfect for renting out or adult children who enjoy living at home a little too much. Semiahmoo Trail elem/Elgin Secondary. Check out the exclusive 3D tour, floor plan & 26 extra photos at the listing REALTORS® website"
S,15291 COLUMBIA AVENUE,F54,"$1,425,000 ",2019,"$7,285.96 ",10/17/2020,46,54,South Surrey White Rock,2,2,"5,850.00","1,604","$1,498,800 ","$1,498,800 ",Asphalt,0,,Concrete Perimeter,0,RT-1,2,10,2,50,117,House/Single Family,"STUNNING 180 DEGREE OCEAN VIEWS. Perfect White Rock gem in perfect move in condition with same owner for 20 years. Completely remodeled over the years with newer kitchen, new quartz counters, back splash, some newer appliances, commercial grade stainless oven, vinyl windows, furnace, hot water tank, beautiful original redone hardwood floors throughout the main floor. Step outside to huge wrap around deck that is partially covered covered to enjoy your full on unobstructed ocean views. Basement has large rec rm. and office area with huge crawl space used for loads of storage with workshop and 2pce bth. Easy stroll to White Rock beach, promenade, pier, all restaurants, shopping or downtown White Rock and transit. Perfect building lot to live here now and build later."
